	Language	Source	Date	Text
205294	Ukranian	unian.net	2011/04/25	Як повідомили УНІАН у прес-групі Управління СБУ у Житомирській області, днями Житомирський районний суд виніс вирок у кримінальній справі, порушеній СБУ стосовно трьох членів організованої злочинної групи, які протягом 2009-2010 років налагодили стійку схему придбання, зберігання, перевезення та збуту оптових партій метамфетаміну на території Київської, Житомирської, Волинської та Івано-Франківської областей.
174353	Ukranian	unian.net	2011/04/28	Зважаючи на те, що останнім часом збільшилась кількість випадків, коли через недбалість однієї людини страждають тисячі пасажирів громадського транспорту, КП «Київпастранс» звертається до власників автотранспорту з проханням ставитися з повагою до людей, які користуються міським пасажирським транспортом, дотримуватись правил дорожнього руху та бути уважними, особливо у місцях, де працює громадський електричний транспорт.
254799	Ukranian	unian.net	2011/07/23	Слідство у цій справі доручене прокуророві Київського району міста Сімферополя.
54606	Ukranian	unian.net	2011/07/06	"Як повідомляв УНІАН, вчора газета ""Сегодня"" (№ 122) написала, що Київська міська державна адміністрація рекомендує підприємствам скоректувати літній графік робочого дня. При цьому видання стверджувало, що інформація надана в прес-службі КМДА. Зокрема, КМДА нібито рекомендувала починати робочий день о 7.00 і йти на перерву об 11.00. Також йшлося, що київська влада вважає, що наступна частина робочого дня може початися о 17.00 і тривати до 21.00."
126156	Ukranian	unian.net	2011/02/06	Координаційна рада з питань захисту української мови при Київській міській організації товариства «Меморіал» ім. В.Стуса закликає голову столичної міської державної адміністрації Олександра ПОПОВА не закривати у місті україномовні класи у школах та групи в дитячих садках.
51619	Ukranian	unian.net	2011/04/14	За цей час у «Парку Київська Русь» відбудеться 5 історичних міжнародних фестивалів: «Київська Русь XIII ст.» (21-22 травня), «Лицарство XV ст.- штурм фортеці» (18-19) червня, «Билини стародавнього Києва – IX-XI ст.» (27-28 серпня), «Гості стародавнього Києва – XV ст.» (24-25 вересня), лучний турнір «Стріла стародавнього Києва» (8 жовтня). Заходи зберуть учасників з України, Росії, Білорусі, Польщі, Франції, скандинавських країн тощо.
234422	Ukranian	unian.net	2011/07/22	Про це свідчать результати всеукраїнського опитування громадської думки, проведеного протягом 10-20 червня Київським міжнародним інститутом соціології (КМІС).
110516	Ukranian	unian.net	2011/06/04	У Києві та Київській області хмарно з проясненнями, дощ (вночі невеликий). Температура вночі по області 2-7° тепла, вдень 10-15°, у Києві вночі 3-5° тепла, вдень 11-13°.
48099	Ukranian	unian.net	2011/02/04	У Києві та Київській області у неділю без опадів. Вітер східний, 7-12 м/с. Температура вночі по області 1-6° тепла, вдень 11-16°; у столиці вночі 3-5° тепла, вдень 13-15°.
18157	Ukranian	unian.net	2011/06/20	Інформагентство «Наш Продукт», м. Київ, вул. Старокиївська, 10-Г, бізнес-центр «Вектор», корпус А, поверх 1.
